P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
-0.30,0.33,-0.522308,1005.849365,0.029694,0.055442,-0.039444,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.30,0.32,-0.522308,1005.849365,0.033281,0.009500,0.018166,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.30,0.33,-0.434875,1005.838928,0.019222,0.021641,0.053010,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.30,0.33,-0.434875,1005.838928,0.018618,0.023948,0.041222,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.05,-0.58
-0.30,0.32,-0.377609,1005.832031,0.073177,0.024924,-0.016808,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.05,-0.58
-0.30,0.32,-0.377609,1005.832031,0.008042,0.026092,0.022389,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.29,0.31,-0.334656,1005.826904,-0.008844,0.025346,-0.038141,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.29,0.31,-0.334656,1005.826904,0.050867,0.012934,0.037137,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.29,0.34,-0.405212,1005.835327,0.072244,0.032456,0.185432,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.58
-0.29,0.34,-0.405212,1005.835327,0.032096,-0.027022,0.030198,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.05,-0.58
-0.28,0.30,-0.364304,1005.835327,0.049102,-0.022429,-0.164726,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.57
-0.28,0.30,-0.364304,1005.830444,-0.024763,0.036096,-0.018870,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.57
-0.28,0.31,-0.364304,1005.830444,0.041409,0.020922,0.110505,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.57
-0.28,0.33,-0.445099,1005.840149,0.050642,-0.002798,0.141619,49.2524375916,-123.2345733643,88.800003,LOCKED,9,0.80,0.16,-0.06,-0.57
