P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
0.07,0.36,0.064240,1007.984192,0.057283,-0.055344,0.040356,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.07,0.36,0.036682,1007.987488,0.067767,-0.062241,0.038859,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.08,0.36,0.036682,1007.987488,0.054777,-0.059120,0.023257,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.08,0.36,-0.023560,1007.994690,0.061954,-0.051751,0.033931,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.08,0.36,-0.023560,1007.994690,0.059202,-0.041112,0.042331,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.09,0.37,0.043320,1007.986694,0.058499,-0.017032,0.036565,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.09,0.38,0.043320,1007.986694,0.050661,-0.022786,0.051119,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.10,0.38,0.056076,1007.985168,0.069492,-0.028106,0.042024,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.10,0.39,0.056076,1007.985168,0.053574,-0.021228,0.049587,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.10,0.39,0.029526,1007.988342,0.060128,-0.036335,0.045093,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.11,0.39,0.029526,1007.988342,0.063064,-0.053445,0.038479,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.12,0.40,0.169907,1007.971497,0.063646,-0.049302,0.041981,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.13,0.41,0.169907,1007.971497,0.049855,-0.049989,0.035119,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.13,0.42,0.083130,1007.981934,0.077875,-0.045601,0.044990,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.14,0.43,0.083130,1007.981934,0.045685,-0.012764,0.074007,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.14,0.43,0.029526,1007.988342,0.067214,-0.004686,0.021403,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.14,0.43,0.029526,1007.988342,0.044631,0.000599,0.081204,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.15,0.43,0.056076,1007.985168,0.064844,-0.029029,0.024808,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
0.15,0.44,0.056076,1007.985168,0.043413,-0.018220,0.044877,49.2466316223,-123.2302017212,87.099998,LOCKED,12,1.00,0.01,0.02,-0.06
