P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
nan,nan,-1.638718,1008.012329,0.006960,-0.000918,0.047596,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,0.00,0.99
nan,nan,-1.625946,1008.010803,-0.001272,0.007120,0.042085,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,0.00,0.99
nan,nan,-1.625946,1008.010803,0.006085,0.001557,0.045656,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,0.00,0.99
nan,nan,-1.598892,1008.007568,0.010474,0.005013,0.036090,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.598892,1008.007568,0.002453,0.002391,0.039839,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.625946,1008.010803,0.004140,-0.003377,0.039322,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.625946,1008.010803,0.003140,-0.000572,0.040803,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.692307,1008.018738,0.001076,-0.002529,0.040578,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.692307,1008.018738,0.000082,0.005820,0.041091,49.2467079163,-123.2301483154,74.800003,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.745392,1008.025146,0.002420,-0.002644,0.050573,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.745392,1008.025146,0.000629,0.001613,0.035951,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.771423,1008.028259,0.003211,-0.005132,0.048119,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
