Altitude, Acc_X, Acc_Y, Acc_Z
0.08,0.01,0,0.03
0.1,0.02,-0.01,0.03
0.1,0.01,0,0.04
0.08,0.01,0,0.04
0.08,0.01,0,0.03
0.08,0.02,0,0.03
0.08,0.02,0,0.04
0.08,0.01,0,0.04
0.1,0.02,0,0.03
0.1,0.02,0,0.03
0.08,0.02,0,0.03
0.08,0.01,0,0.03
0.06,0.01,0,0.03
0.06,0.01,0,0.03
0.09,0.01,0,0.03
0.09,0.01,0,0.03
0.07,0.02,0,0.04
0.07,0.02,0,0.03
0.09,0.02,-0.01,0.03
0.09,0.01,-0.01,0.03
0.09,0.02,0,0.03
0.08,0.01,0,0.03
0.08,0.02,0,0.04
0.07,0.02,-0.01,0.04
0.07,0.02,0,0.03
0.09,0.01,0,0.03
0.09,0.02,-0.01,0.03
0.1,0.02,-0.01,0.04
0.1,0.01,-0.01,0.03
0.09,0.01,-0.01,0.03
0.09,0.01,0,0.03
0.11,0.01,0,0.03
0.11,0.02,-0.01,0.03
0.11,0.01,-0.01,0.03
0.13,0.01,0,0.04
0.13,0.02,-0.01,0.03
0.12,0.01,-0.01,0.03
0.12,0.02,0,0.03
0.14,0.02,-0.01,0.04
0.14,0.02,-0.01,0.03
0.12,0.01,-0.01,0.04
0.12,0.02,-0.01,0.03
0.15,0.01,0,0.04
0.15,0.02,-0.01,0.04
0.13,0.01,0,0.04
0.13,0.01,-0.01,0.04
0.17,0.01,-0.01,0.04
0.17,0.01,-0.01,0.03
0.17,0.01,-0.01,0.04
0.18,0.02,-0.01,0.03
0.18,0.01,-0.01,0.03
0.16,0.02,0,0.03
0.16,0.02,-0.01,0.03
0.17,0.01,0,0.03
0.17,0.01,-0.01,0.04
0.19,0.02,0,0.03
0.19,0.02,-0.01,0.03
0.19,0.02,-0.01,0.03
0.19,0.02,-0.01,0.03
0.19,0.02,-0.01,0.03
0.19,0.01,-0.01,0.03
0.19,0.01,-0.01,0.03
0.22,0.02,-0.01,0.03
0.22,0.02,-0.01,0.04
0.2,0.02,-0.01,0.03
0.2,0.01,-0.01,0.03
0.25,0.02,-0.01,0.04
0.25,0.01,0,0.04
0.24,0.01,0,0.03
0.24,0.02,-0.01,0.03
0.22,0.02,-0.01,0.04
0.22,0.02,-0.01,0.03
0.25,0.01,-0.01,0.04
0.25,0.01,-0.01,0.03
0.23,0.01,-0.01,0.04
0.23,0.02,-0.01,0.04
0.23,0.01,-0.02,0.04
0.23,0.02,-0.01,0.03
0.23,0.01,-0.01,0.04
0.23,0.02,-0.01,0.04
0.23,0.01,-0.02,0.03
0.27,0.01,-0.01,0.03
0.27,0.01,-0.01,0.04
0.27,0.01,-0.01,0.03
0.27,0.02,-0.01,0.04
0.25,0.02,-0.01,0.04
0.25,0.01,-0.01,0.04
0.27,0.02,-0.01,0.04
0.27,0.01,-0.01,0.03
0.27,0.01,-0.01,0.03
0.27,0.01,-0.01,0.04
0.27,0.02,-0.01,0.04
0.3,0.01,-0.01,0.03
0.3,0.02,-0.01,0.03
0.3,0.02,-0.01,0.04
0.3,0.01,-0.01,0.03
0.3,0.02,-0.01,0.03
0.3,0.02,-0.01,0.03
0.29,0.02,-0.01,0.03
0.29,0.02,-0.02,0.04
0.29,0.02,-0.02,0.03
0.29,0.02,-0.01,0.04
0.29,0.02,-0.02,0.04
0.29,0.01,-0.02,0.03
0.29,0.02,-0.01,0.04
0.29,0.02,-0.01,0.03
0.29,0.02,-0.02,0.04
0.29,0.02,-0.01,0.03
0.29,0.02,-0.02,0.04
0.29,0.02,-0.01,0.03
0.29,0.02,-0.02,0.03
0.29,0.01,-0.02,0.03
0.29,0.02,-0.02,0.03
0.29,0.02,-0.01,0.03
0.29,0.01,-0.02,0.04
0.28,0.02,-0.02,0.04
0.28,0.01,-0.02,0.03
0.28,0.02,-0.01,0.03
0.31,0.02,-0.02,0.04
0.31,0.02,-0.02,0.04
0.31,0.01,-0.01,0.03
0.31,0.02,-0.01,0.03
0.26,0.01,-0.01,0.03
0.26,0.02,-0.01,0.03
0.25,0.02,-0.02,0.03
0.25,0.02,-0.01,0.04
0.24,0.02,-0.02,0.04
0.24,0.02,-0.01,0.03
0.24,0.01,-0.01,0.03
0.24,0.02,-0.01,0.03
0.24,0.02,-0.02,0.03
0.24,0.02,-0.01,0.04
0.24,0.01,-0.01,0.03
0.24,0.01,-0.01,0.03
0.24,0.02,-0.02,0.03
0.24,0.02,-0.02,0.03
0.24,0.02,-0.01,0.03
0.24,0.02,-0.02,0.03
0.24,0.02,-0.02,0.04
0.26,0.01,-0.02,0.03
0.26,0.01,-0.02,0.03
0.26,0.02,-0.02,0.03
0.26,0.02,-0.02,0.03
0.26,0.02,-0.02,0.04
0.26,0.02,-0.02,0.03
0.26,0.01,-0.02,0.03
0.24,0.01,-0.02,0.03
0.24,0.02,-0.02,0.04
0.23,0.02,-0.02,0.03
0.23,0.02,-0.02,0.04
0.23,0.02,-0.02,0.04
0.23,0.02,-0.01,0.04
0.24,0.01,-0.02,0.04
0.24,0.02,-0.02,0.03
0.26,0.02,-0.02,0.04
0.26,0.02,-0.01,0.03
0.27,0.02,-0.02,0.03
0.27,0.02,-0.02,0.03
0.27,0.02,-0.01,0.03
0.27,0.02,-0.02,0.04
0.27,0.01,-0.02,0.04
