P_Pos, P_Vel, Alt_1, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z
0.03,0.01,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.03,0.01,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.03,0.02,0.25,0.25,1006.68,0.01,-0.01,0.00
0.03,0.02,0.25,0.25,1006.68,0.01,-0.01,-0.00
0.03,0.01,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.03,0.02,0.25,0.25,1006.68,0.01,-0.01,0.00
0.03,0.02,0.29,0.29,1006.67,0.01,-0.02,0.00
0.03,0.02,0.29,0.29,1006.67,0.01,-0.01,-0.00
0.03,0.02,0.29,0.29,1006.67,0.01,-0.01,0.00
0.03,0.02,0.29,0.29,1006.67,0.01,-0.01,0.00
0.04,0.02,0.29,0.29,1006.67,0.02,-0.01,0.00
0.04,0.02,0.29,0.29,1006.67,0.01,-0.01,0.00
0.04,0.02,0.31,0.31,1006.67,0.01,-0.02,0.00
0.04,0.02,0.31,0.31,1006.67,0.01,-0.01,-0.00
0.04,0.02,0.30,0.30,1006.67,0.01,-0.01,0.00
0.04,0.02,0.30,0.30,1006.67,0.01,-0.01,-0.00
0.04,0.02,0.24,0.24,1006.68,0.01,-0.01,-0.00
0.04,0.02,0.24,0.24,1006.68,0.01,-0.02,-0.01
0.04,0.02,0.21,0.21,1006.68,0.02,-0.01,0.00
0.04,0.02,0.21,0.21,1006.68,0.01,-0.01,0.00
0.05,0.02,0.27,0.27,1006.68,0.01,-0.01,0.00
0.05,0.02,0.27,0.27,1006.68,0.01,-0.02,-0.00
0.05,0.02,0.25,0.25,1006.68,0.01,-0.02,0.00
0.05,0.02,0.25,0.25,1006.68,0.01,-0.01,0.01
0.05,0.02,0.23,0.23,1006.68,0.01,-0.01,-0.00
0.05,0.02,0.23,0.23,1006.68,0.01,-0.01,0.00
0.05,0.02,0.32,0.32,1006.67,0.01,-0.02,0.00
0.05,0.02,0.32,0.32,1006.67,0.01,-0.01,0.00
0.05,0.03,0.28,0.28,1006.67,0.02,-0.02,0.00
0.06,0.03,0.28,0.28,1006.67,0.01,-0.01,-0.00
0.06,0.03,0.31,0.31,1006.67,0.01,-0.01,-0.00
0.06,0.03,0.31,0.31,1006.67,0.02,-0.02,0.00
0.06,0.03,0.18,0.18,1006.67,0.01,-0.02,0.00
0.06,0.03,0.18,0.18,1006.69,0.01,-0.02,0.00
0.06,0.03,0.18,0.18,1006.69,0.02,-0.01,-0.01
0.06,0.03,0.18,0.18,1006.69,0.02,-0.01,0.00
0.06,0.03,0.18,0.18,1006.69,0.02,-0.01,-0.00
0.06,0.03,0.12,0.12,1006.69,0.01,-0.01,-0.00
0.06,0.03,0.12,0.12,1006.69,0.01,-0.02,-0.00
0.07,0.03,0.07,0.07,1006.70,0.01,-0.02,0.00
0.07,0.03,0.07,0.07,1006.70,0.01,-0.01,-0.01
0.07,0.02,0.02,0.02,1006.71,0.01,-0.01,-0.00
0.07,0.02,0.02,0.02,1006.71,0.02,-0.01,0.00
0.07,0.02,0.02,0.02,1006.71,0.01,-0.01,-0.00
0.07,0.02,0.02,0.02,1006.71,0.02,-0.02,0.00
0.07,0.02,0.02,0.02,1006.71,0.01,-0.02,-0.00
0.07,0.02,0.02,0.02,1006.71,0.01,-0.01,0.00
0.07,0.02,0.03,0.03,1006.70,0.02,-0.02,-0.00
0.07,0.02,0.03,0.03,1006.70,0.01,-0.02,0.00
0.07,0.03,0.03,0.03,1006.70,0.01,-0.01,0.00
0.07,0.03,0.03,0.03,1006.70,0.01,-0.01,0.00
0.07,0.02,0.11,0.11,1006.69,0.01,-0.01,-0.00
0.07,0.02,0.11,0.11,1006.69,0.01,-0.01,-0.00
0.07,0.02,0.11,0.11,1006.70,0.01,-0.02,0.00
0.07,0.02,0.11,0.11,1006.70,0.01,-0.01,-0.00
0.07,0.02,0.12,0.12,1006.69,0.01,-0.02,-0.01
0.07,0.02,0.12,0.12,1006.69,0.01,-0.02,0.00
0.07,0.02,0.16,0.16,1006.69,0.01,-0.01,-0.00
0.07,0.02,0.16,0.16,1006.69,0.01,-0.02,-0.00
0.07,0.02,0.21,0.21,1006.68,0.01,-0.02,0.00
0.08,0.02,0.21,0.21,1006.68,0.02,-0.02,-0.00
0.08,0.02,0.21,0.21,1006.68,0.01,-0.02,-0.01
0.08,0.02,0.21,0.21,1006.68,0.01,-0.02,0.00
0.08,0.02,0.17,0.17,1006.69,0.01,-0.02,-0.00
0.08,0.02,0.17,0.17,1006.69,0.01,-0.01,0.00
0.08,0.02,0.19,0.19,1006.69,0.01,-0.01,-0.00
0.08,0.02,0.19,0.19,1006.69,0.01,-0.01,0.00
0.08,0.02,0.16,0.16,1006.69,0.02,-0.01,-0.00
0.08,0.02,0.16,0.16,1006.69,0.01,-0.02,-0.00
0.08,0.02,0.17,0.17,1006.69,0.01,-0.02,-0.00
0.09,0.02,0.17,0.17,1006.69,0.01,-0.01,-0.00
0.09,0.02,0.21,0.21,1006.68,0.02,-0.02,-0.01
0.09,0.02,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.09,0.02,0.13,0.13,1006.69,0.02,-0.02,-0.00
0.09,0.02,0.13,0.13,1006.69,0.01,-0.01,0.00
0.09,0.02,0.12,0.12,1006.69,0.01,-0.02,0.00
0.09,0.02,0.12,0.12,1006.69,0.01,-0.02,0.00
0.09,0.02,0.21,0.21,1006.68,0.02,-0.01,-0.01
0.09,0.02,0.21,0.21,1006.68,0.01,-0.01,0.00
0.09,0.02,0.23,0.23,1006.68,0.01,-0.02,0.00
0.09,0.02,0.23,0.23,1006.68,0.02,-0.01,0.00
0.09,0.02,0.22,0.22,1006.68,0.01,-0.02,-0.00
0.10,0.02,0.22,0.22,1006.68,0.01,-0.02,-0.01
0.10,0.02,0.26,0.26,1006.68,0.01,-0.01,0.00
0.10,0.02,0.26,0.26,1006.68,0.02,-0.02,-0.00
0.10,0.02,0.32,0.32,1006.67,0.01,-0.02,-0.00
0.10,0.02,0.32,0.32,1006.67,0.01,-0.01,0.00
0.10,0.02,0.30,0.30,1006.67,0.01,-0.01,-0.00
0.10,0.02,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.11,0.02,0.26,0.26,1006.68,0.01,-0.02,-0.00
0.11,0.02,0.26,0.26,1006.68,0.01,-0.02,0.00
0.11,0.02,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.11,0.02,0.27,0.27,1006.68,0.01,-0.01,0.00
0.11,0.02,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.11,0.03,0.30,0.30,1006.67,0.01,-0.02,0.00
0.11,0.03,0.30,0.30,1006.67,0.01,-0.02,0.00
0.12,0.03,0.30,0.30,1006.67,0.01,-0.02,0.00
0.12,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.12,0.03,0.29,0.29,1006.67,0.02,-0.02,0.00
0.12,0.03,0.29,0.29,1006.67,0.01,-0.02,0.00
0.12,0.03,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.12,0.03,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.13,0.03,0.36,0.36,1006.67,0.01,-0.02,-0.00
0.13,0.03,0.36,0.36,1006.67,0.01,-0.02,-0.00
0.13,0.03,0.34,0.34,1006.67,0.02,-0.02,-0.00
0.13,0.03,0.34,0.34,1006.67,0.02,-0.02,-0.00
0.13,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.13,0.03,0.30,0.30,1006.67,0.02,-0.02,0.01
0.13,0.03,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.14,0.03,0.27,0.27,1006.68,0.01,-0.01,-0.00
0.14,0.03,0.25,0.25,1006.68,0.01,-0.01,0.00
0.14,0.03,0.25,0.25,1006.68,0.01,-0.02,0.00
0.14,0.03,0.23,0.23,1006.68,0.01,-0.02,-0.00
0.14,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.14,0.03,0.22,0.22,1006.68,0.02,-0.02,-0.00
0.14,0.03,0.22,0.22,1006.68,0.01,-0.02,-0.00
0.14,0.03,0.29,0.29,1006.67,0.01,-0.02,0.00
0.15,0.03,0.29,0.29,1006.67,0.01,-0.02,-0.01
0.15,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.15,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.15,0.03,0.22,0.22,1006.68,0.02,-0.02,-0.00
0.15,0.03,0.22,0.22,1006.68,0.01,-0.01,0.00
0.15,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.15,0.03,0.23,0.23,1006.68,0.02,-0.02,-0.00
0.15,0.03,0.16,0.16,1006.69,0.01,-0.02,-0.01
0.15,0.03,0.16,0.16,1006.69,0.02,-0.02,-0.00
0.15,0.03,0.23,0.23,1006.68,0.01,-0.02,-0.00
0.16,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.16,0.03,0.18,0.18,1006.69,0.01,-0.02,0.00
0.16,0.03,0.18,0.18,1006.69,0.01,-0.02,-0.00
0.16,0.03,0.25,0.25,1006.68,0.01,-0.01,-0.00
0.16,0.03,0.25,0.25,1006.68,0.02,-0.02,-0.00
0.16,0.03,0.29,0.29,1006.67,0.01,-0.02,0.00
0.16,0.03,0.29,0.29,1006.67,0.01,-0.01,0.00
0.16,0.03,0.30,0.30,1006.67,0.01,-0.02,0.00
0.16,0.03,0.30,0.30,1006.67,0.02,-0.02,0.00
0.17,0.03,0.26,0.26,1006.68,0.02,-0.02,0.00
0.17,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.17,0.03,0.26,0.26,1006.68,0.02,-0.02,0.00
0.17,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.17,0.03,0.26,0.26,1006.68,0.02,-0.02,-0.00
0.17,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.17,0.03,0.36,0.36,1006.67,0.02,-0.02,-0.00
0.17,0.03,0.36,0.36,1006.67,0.01,-0.03,-0.01
0.18,0.03,0.33,0.33,1006.67,0.01,-0.02,-0.00
0.18,0.03,0.33,0.33,1006.67,0.01,-0.02,-0.00
0.18,0.03,0.34,0.34,1006.67,0.01,-0.02,0.00
0.18,0.03,0.34,0.34,1006.67,0.02,-0.02,-0.00
0.18,0.03,0.33,0.33,1006.67,0.02,-0.02,0.00
0.18,0.03,0.33,0.33,1006.67,0.01,-0.03,0.00
0.19,0.03,0.33,0.33,1006.67,0.01,-0.02,0.00
0.19,0.03,0.30,0.30,1006.67,0.01,-0.03,0.00
0.19,0.03,0.30,0.30,1006.67,0.01,-0.02,0.00
0.19,0.03,0.25,0.25,1006.68,0.02,-0.02,-0.00
0.19,0.03,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.19,0.03,0.25,0.25,1006.68,0.02,-0.02,0.00
0.19,0.03,0.25,0.25,1006.68,0.02,-0.02,-0.00
0.19,0.03,0.29,0.29,1006.67,0.01,-0.02,-0.00
0.19,0.03,0.29,0.29,1006.67,0.01,-0.02,0.01
0.20,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.20,0.03,0.23,0.23,1006.68,0.02,-0.02,-0.00
0.20,0.03,0.30,0.30,1006.67,0.02,-0.02,-0.00
0.20,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.20,0.03,0.29,0.29,1006.67,0.02,-0.02,0.00
0.20,0.03,0.29,0.29,1006.67,0.01,-0.02,0.00
0.20,0.03,0.26,0.26,1006.68,0.01,-0.02,-0.00
0.20,0.03,0.26,0.26,1006.68,0.01,-0.02,0.01
0.20,0.03,0.26,0.26,1006.68,0.02,-0.02,-0.00
0.21,0.03,0.26,0.26,1006.68,0.01,-0.03,-0.00
0.21,0.03,0.26,0.26,1006.68,0.01,-0.02,0.00
0.21,0.04,0.26,0.26,1006.68,0.02,-0.02,0.01
0.21,0.04,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.21,0.04,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.21,0.04,0.25,0.25,1006.68,0.01,-0.02,0.00
0.21,0.04,0.25,0.25,1006.68,0.01,-0.02,0.00
0.21,0.04,0.22,0.22,1006.68,0.02,-0.02,-0.00
0.21,0.04,0.22,0.22,1006.68,0.01,-0.02,0.01
0.21,0.04,0.21,0.21,1006.68,0.01,-0.03,-0.00
0.21,0.04,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.21,0.04,0.23,0.23,1006.68,0.01,-0.02,-0.00
0.22,0.03,0.23,0.23,1006.68,0.01,-0.02,-0.01
0.22,0.04,0.26,0.26,1006.68,0.01,-0.02,0.00
