P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, GPS_Altitude, Lock, Satellites
0.65,-0.13,1.546341,1013.629700,0.089358,-0.092155,0.014340,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.13,1.546341,1013.629700,0.082087,-0.084181,-0.001104,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.15,1.613411,1013.621643,0.057168,-0.097162,-0.068368,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.16,1.613411,1013.621643,0.065249,-0.094178,-0.099964,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.17,1.555489,1013.628601,0.080036,-0.094080,-0.063035,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.18,1.555489,1013.628601,0.093530,-0.093320,-0.047075,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.19,1.466560,1013.639282,0.080692,-0.100350,-0.062759,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.21,1.466560,1013.639282,0.058176,-0.105154,-0.104792,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.23,1.436584,1013.642944,0.066324,-0.105913,-0.093848,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.23,1.436584,1013.642944,0.087711,-0.123835,-0.025407,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.23,1.357826,1013.652405,0.073596,-0.111086,0.024352,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.22,1.357826,1013.652405,0.055440,-0.117187,0.017934,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.22,1.371544,1013.650757,0.051630,-0.130433,0.009101,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.22,1.371544,1013.650757,0.047627,-0.131015,0.023802,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.20,1.340042,1013.654541,0.054928,-0.124978,0.067692,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.18,1.340042,1013.654541,0.058294,-0.111206,0.121225,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.16,1.416763,1013.645325,0.062758,-0.114710,0.124655,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.14,1.416763,1013.645325,0.067027,-0.105017,0.096386,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.13,1.518898,1013.632996,0.078824,-0.128623,0.085256,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.65,-0.11,1.518898,1013.632996,0.044852,-0.140111,0.087294,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.10,1.534653,1013.631104,0.015573,-0.142462,0.064109,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.10,1.534653,1013.631104,0.044956,-0.140086,0.003890,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.09,1.597153,1013.623596,0.077261,-0.114093,0.037900,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.08,1.597153,1013.623596,0.081330,-0.108162,0.052945,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.66,-0.08,1.645935,1013.617676,0.055336,-0.124723,-0.011181,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.09,1.645935,1013.617676,0.044553,-0.129711,-0.048034,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.10,1.595123,1013.623840,0.024908,-0.126755,-0.043178,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.10,1.595123,1013.623840,0.029154,-0.121116,-0.026189,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.10,1.631195,1013.619507,0.022558,-0.116828,-0.004145,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.10,1.631195,1013.619507,0.026922,-0.102814,-0.010009,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.11,1.595627,1013.623779,0.036260,-0.089399,-0.015114,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.10,1.595627,1013.623779,0.051172,-0.088382,0.001824,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.11,1.729271,1013.623779,0.086979,-0.105467,-0.033326,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.12,1.657623,1013.616272,0.074444,-0.113779,-0.035969,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.12,1.657623,1013.616272,0.048447,-0.118484,-0.050292,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.14,1.752136,1013.604919,0.060587,-0.116583,-0.066659,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.15,1.752136,1013.604919,0.075828,-0.123650,-0.057725,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.16,1.772461,1013.602478,0.062616,-0.124621,-0.061318,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.17,1.772461,1013.602478,0.079210,-0.127677,-0.071372,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.69,-0.18,1.682518,1013.613281,0.102370,-0.132513,-0.072809,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.70,-0.19,1.682518,1013.613281,0.104985,-0.127235,-0.071189,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.70,-0.21,1.709961,1013.609985,0.110665,-0.110417,-0.090969,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.70,-0.22,1.709961,1013.609985,0.122900,-0.141154,-0.076604,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.70,-0.23,1.678459,1013.613770,0.118437,-0.163862,-0.036156,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.70,-0.23,1.678459,1013.613770,0.103875,-0.141216,-0.033524,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
