type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	eos	name
T	2023-12-08 00:21:35	49.254128000	-123.234838333	87.4	0.1		8	1.38		Gps_out
T	2023-12-08 00:21:35.2	49.254127833	-123.234840000	87.3	0.2		9	1.38		
T	2023-12-08 00:21:35.4	49.254126333	-123.234841667	87.4	0.2		8	1.38		
T	2023-12-08 00:21:35.6	49.254124333	-123.234842333	87.4	0.6		8	1.38		
T	2023-12-08 00:21:35.8	49.254123333	-123.234841167	87.5	1.4		8	1.38		
T	2023-12-08 00:21:36	49.254123667	-123.234838000	87.2	1.6		8	1.38		
T	2023-12-08 00:21:36.2	49.254125667	-123.234835833	86.8	1.6		8	1.38		
T	2023-12-08 00:21:36.4	49.254126500	-123.234834000	86.5	1.7		8	1.38		
T	2023-12-08 00:21:36.6	49.254126000	-123.234833833	86.4	1.4		9	1.38		
T	2023-12-08 00:21:36.8	49.254125833	-123.234833167	86.1	1.3		9	1.38		
T	2023-12-08 00:21:37	49.254126167	-123.234831667	85.9	1.7		9	1.38		
T	2023-12-08 00:21:37.2	49.254126333	-123.234830833	85.6	1.6		9	1.38		
T	2023-12-08 00:21:37.4	49.254126667	-123.234830167	85.5	1.4		9	1.38		
T	2023-12-08 00:21:37.6	49.254127000	-123.234828833	85.3	1.4		9	1.38		
T	2023-12-08 00:21:37.8	49.254127333	-123.234828500	85.2	1.1		9	1.38		
T	2023-12-08 00:21:38	49.254128000	-123.234827667	85.1	1.0		9	1.38		
T	2023-12-08 00:21:38.2	49.254128500	-123.234826833	85.1	1.1		9	1.38		
T	2023-12-08 00:21:38.4	49.254128667	-123.234827500	85.0	0.7		9	1.38		
T	2023-12-08 00:21:38.6	49.254129000	-123.234828000	85.0	0.3		9	1.38		
T	2023-12-08 00:21:38.8	49.254128000	-123.234830500	85.1	0.3		9	1.03		
T	2023-12-08 00:21:39	49.254126833	-123.234832833	85.3	0.7		9	1.03		
T	2023-12-08 00:21:39.2	49.254126333	-123.234834833	85.4	0.7		9	1.03		
T	2023-12-08 00:21:39.4	49.254125500	-123.234836167	85.4	0.7		9	1.03		
T	2023-12-08 00:21:39.6	49.254124000	-123.234839000	85.7	1.2		9	1.03		
T	2023-12-08 00:21:39.8	49.254123333	-123.234839000	85.7	0.9		9	1.03		
T	2023-12-08 00:21:40	49.254123500	-123.234839000	85.7	0.8		9	1.03		
T	2023-12-08 00:21:40.2	49.254123000	-123.234840167	86.0	0.8		9	1.03		
T	2023-12-08 00:21:40.4	49.254123333	-123.234841167	86.5	1.4		9	1.03		
T	2023-12-08 00:21:40.6	49.254124000	-123.234840500	86.9	2.2		9	1.03		
T	2023-12-08 00:21:40.8	49.254123333	-123.234841333	87.2	2.0		9	1.03		
T	2023-12-08 00:21:41	49.254121500	-123.234842333	87.4	0.9		9	1.03		
T	2023-12-08 00:21:41.2	49.254120167	-123.234843667	87.5	0.7		9	1.03		
T	2023-12-08 00:21:41.4	49.254118667	-123.234845333	87.7	0.6		9	1.03		
T	2023-12-08 00:21:41.6	49.254116833	-123.234848167	87.9	0.2		9	1.03		
T	2023-12-08 00:21:41.8	49.254113500	-123.234853000	88.5	1.6		9	1.03		
T	2023-12-08 00:21:42	49.254112667	-123.234854833	88.4	1.5		9	1.03		
T	2023-12-08 00:21:42.2	49.254112333	-123.234854667	88.1	1.6		9	1.03		
T	2023-12-08 00:21:42.4	49.254112000	-123.234854000	87.6	1.8		9	1.38		
T	2023-12-08 00:21:42.6	49.254111500	-123.234855167	87.4	1.7		9	1.38		
T	2023-12-08 00:21:42.8	49.254111667	-123.234855167	87.3	1.2		9	1.38		
T	2023-12-08 00:21:43	49.254112167	-123.234855333	87.2	1.1		9	1.38		
T	2023-12-08 00:21:43.2	49.254113333	-123.234855333	87.3	0.9		9	1.38		
T	2023-12-08 00:21:43.4	49.254114500	-123.234856667	87.6	1.5		9	1.03		
T	2023-12-08 00:21:43.6	49.254114000	-123.234857500	87.6	0.9		9	1.03		
T	2023-12-08 00:21:43.8	49.254113667	-123.234857333	87.1	0.7		9	1.03		
T	2023-12-08 00:21:44	49.254113667	-123.234857167	86.9	0.4		9	1.03		
T	2023-12-08 00:21:44.2	49.254112667	-123.234858500	87.1	0.5		9	1.03		
T	2023-12-08 00:21:44.4	49.254111667	-123.234859333	87.2	0.4		9	1.03		
T	2023-12-08 00:21:44.6	49.254109333	-123.234861333	87.3	0.2		9	1.03		
T	2023-12-08 00:21:44.8	49.254107667	-123.234864667	87.5	0.2		9	1.03		
