P_Pos, P_Vel, Altitude, Altitude_Baro, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites
1.52,0.39,-0.003609,-0.003609,1015.862915,-0.010874,0.041741,0.028178,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.39,-0.003609,-0.003609,1015.862915,-0.023887,0.064246,0.021047,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.39,-0.035065,-0.035065,1015.866699,-0.009486,0.030535,0.008013,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.39,-0.035065,-0.035065,1015.866699,-0.011842,0.031414,-0.009263,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.061440,-0.061440,1015.869934,-0.021438,0.037278,-0.011607,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.061440,-0.061440,1015.869934,-0.021605,0.028947,-0.012182,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.159332,-0.159332,1015.881714,-0.012236,0.029975,-0.011111,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.159332,-0.159332,1015.881714,-0.011760,0.040062,0.006025,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.119263,-0.119263,1015.876892,-0.018928,0.047003,0.018528,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.119263,-0.119263,1015.876892,-0.023928,0.043016,0.012199,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.022377,-0.022377,1015.865173,-0.027745,0.028737,-0.008905,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.38,-0.022377,-0.022377,1015.865173,-0.022072,0.024199,-0.025570,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.008179,-0.008179,1015.863464,-0.010832,0.030220,-0.010260,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.008179,-0.008179,1015.863464,-0.007769,0.033230,0.001928,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.078682,-0.078682,1015.872009,-0.004861,0.026366,0.005253,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.078682,-0.078682,1015.872009,-0.011604,0.027771,0.004515,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.008179,-0.008179,1015.863464,-0.007674,0.033569,0.000864,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.008179,-0.008179,1015.863464,-0.021115,0.031442,-0.000750,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.119263,-0.119263,1015.876892,-0.016323,0.032699,-0.007913,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.119263,-0.119263,1015.876892,-0.017984,0.031450,0.001562,49.247681,-123.230621,70.099998,LOCKED,5
1.52,0.37,-0.119263,-0.119263,1015.876892,-0.011476,0.037840,0.011901,49.247681,-123.230621,67.599998,LOCKED,5
1.52,0.37,-0.119263,-0.119263,1015.876892,-0.010253,0.029815,0.021172,49.247681,-123.230621,67.599998,LOCKED,5
1.52,0.38,-0.035065,-0.035065,1015.866699,-0.008600,0.029586,0.015253,49.247681,-123.230621,67.599998,LOCKED,5
1.52,0.38,-0.035065,-0.035065,1015.866699,-0.009821,0.026945,0.003753,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.035065,-0.035065,1015.866699,-0.017890,0.036450,-0.011132,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.035065,-0.035065,1015.866699,-0.020879,0.037394,-0.013386,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.022377,-0.022377,1015.865173,-0.013115,0.030167,-0.007781,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.022377,-0.022377,1015.865173,-0.012719,0.030780,-0.000479,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.035065,-0.035065,1015.866699,-0.016850,0.032989,0.009067,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.035065,-0.035065,1015.866699,-0.021895,0.045310,0.014064,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.047745,-0.047745,1015.868286,-0.024152,0.041760,0.011264,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.047745,-0.047745,1015.868286,-0.022426,0.043998,0.004226,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.075134,-0.075134,1015.871582,-0.017184,0.040220,-0.002154,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.075134,-0.075134,1015.871582,-0.013943,0.032584,-0.009927,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.114700,-0.114700,1015.876343,-0.015773,0.029936,-0.001197,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.114700,-0.114700,1015.876343,-0.013252,0.030799,0.011006,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.114700,-0.114700,1015.876343,-0.007345,0.028039,0.012178,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.114700,-0.114700,1015.876343,-0.009832,0.025555,0.016583,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.141075,-0.141075,1015.879517,-0.010972,0.029943,0.011780,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.141075,-0.141075,1015.879517,-0.019175,0.039551,0.008276,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.069557,-0.069557,1015.870911,-0.021135,0.043794,0.005108,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.069557,-0.069557,1015.870911,-0.024713,0.045336,0.007978,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.043175,-0.043175,1015.867737,-0.022531,0.043102,0.002668,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.043175,-0.043175,1015.867737,-0.014051,0.030620,0.001087,49.247681,-123.230621,67.599998,LOCKED,5
1.53,0.37,-0.003609,-0.003609,1015.862915,-0.004706,0.028126,0.003056,49.247681,-123.230621,67.599998,LOCKED,5
