Header, Pz, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Lat, Long, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z, Px, Vx, Py, Vy
hyu, -6.00,0.11,-5.91,1006.438,-0.009716,-0.058767,0.001635,49.250546,-123.234413,57.40,1,3,0.772,0.032,-0.040,-0.633,-0.22,-0.43,-0.28,-0.40
hyu, -5.99,0.12,-5.88,1006.435,-0.006540,-0.072052,0.007341,49.250546,-123.234413,57.40,1,3,0.772,0.032,-0.040,-0.634,-0.22,-0.43,-0.28,-0.40
hyu, -5.99,0.12,-5.88,1006.435,-0.008708,-0.080788,-0.005405,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.634,-0.22,-0.43,-0.27,-0.40
hyu, -5.99,0.12,-5.85,1006.431,-0.004677,-0.075243,0.005075,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.634,-0.22,-0.43,-0.27,-0.40
hyu, -5.98,0.12,-5.85,1006.431,-0.015788,-0.071761,0.009105,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.43,-0.27,-0.40
hyu, -5.98,0.12,-5.85,1006.431,-0.008490,-0.060977,0.011564,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.43,-0.27,-0.40
hyu, -5.97,0.13,-5.85,1006.431,-0.009971,-0.068704,-0.000867,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.43,-0.27,-0.40
hyu, -5.97,0.13,-5.77,1006.422,-0.018915,-0.079393,0.006029,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.43,-0.27,-0.40
hyu, -5.96,0.13,-5.77,1006.422,-0.013375,-0.078256,-0.001301,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.44,-0.27,-0.40
hyu, -5.96,0.13,-5.84,1006.430,-0.014161,-0.066604,-0.007775,49.250546,-123.234413,57.40,1,3,0.771,0.032,-0.040,-0.635,-0.23,-0.44,-0.27,-0.40
hyu, -5.96,0.13,-5.84,1006.430,-0.014302,-0.063615,-0.004828,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.040,-0.635,-0.23,-0.44,-0.27,-0.39
hyu, -5.95,0.13,-5.81,1006.427,-0.013762,-0.064956,0.007013,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.040,-0.636,-0.23,-0.44,-0.27,-0.39
hyu, -5.95,0.13,-5.81,1006.427,-0.020085,-0.066017,-0.002236,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.040,-0.636,-0.24,-0.44,-0.27,-0.39
hyu, -5.94,0.14,-5.81,1006.427,-0.017479,-0.065716,0.007821,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.039,-0.636,-0.24,-0.45,-0.27,-0.39
hyu, -5.94,0.14,-5.81,1006.427,-0.014035,-0.066404,0.004212,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.039,-0.636,-0.24,-0.45,-0.27,-0.39
hyu, -5.93,0.14,-5.80,1006.425,-0.006424,-0.067543,0.002711,49.250546,-123.234413,57.40,1,3,0.770,0.032,-0.039,-0.636,-0.24,-0.45,-0.27,-0.38
