P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
-0.64,-0.08,-0.52,1014.108,-0.059827,-0.053969,0.004309,49.261536,-123.256378,81.60,1,5,0.510,0.002,0.000,-0.860
-0.64,-0.08,-0.39,1014.102,-0.065423,-0.045551,0.005533,49.261536,-123.256378,81.60,1,5,0.510,0.002,0.000,-0.860
-0.63,-0.08,-0.39,1014.093,-0.056168,-0.032083,0.003876,49.261536,-123.256378,81.60,1,5,0.510,0.002,0.001,-0.860
-0.63,-0.08,-0.35,1014.093,-0.059600,-0.031136,-0.007110,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.63,-0.08,-0.35,1014.088,-0.052684,-0.035844,0.000234,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.63,-0.08,-0.34,1014.087,-0.062005,-0.044603,-0.002226,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.62,-0.07,-0.34,1014.087,-0.059069,-0.047029,-0.001977,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.62,-0.07,-0.34,1014.087,-0.056942,-0.052847,0.004843,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.62,-0.07,-0.39,1014.093,-0.054221,-0.051523,0.000701,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.62,-0.07,-0.39,1014.093,-0.059563,-0.042672,-0.000261,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.62,-0.07,-0.42,1014.096,-0.058125,-0.042558,0.004163,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.61,-0.07,-0.42,1014.096,-0.064448,-0.041850,0.004424,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.61,-0.06,-0.45,1014.100,-0.058771,-0.047731,0.001271,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.61,-0.06,-0.45,1014.100,-0.054005,-0.048364,-0.005299,49.261536,-123.256378,81.20,1,5,0.510,0.001,0.000,-0.860
-0.61,-0.06,-0.45,1014.100,-0.054313,-0.045173,0.000826,49.261536,-123.256378,81.20,1,5,0.510,0.000,0.000,-0.860
-0.61,-0.06,-0.45,1014.100,-0.058458,-0.037721,-0.005502,49.261536,-123.256378,81.20,1,5,0.510,0.000,0.000,-0.860
-0.61,-0.06,-0.41,1014.095,-0.063231,-0.040758,-0.013309,49.261536,-123.256378,81.20,1,5,0.509,0.000,0.000,-0.860
-0.61,-0.07,-0.41,1014.095,-0.065344,-0.041670,-0.007945,49.261536,-123.256378,81.20,1,5,0.510,0.000,0.000,-0.860
-0.60,-0.06,-0.42,1014.096,-0.059442,-0.043903,-0.001109,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.000,-0.861
-0.60,-0.06,-0.42,1014.096,-0.056381,-0.038645,-0.004535,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.000,-0.861
-0.60,-0.06,-0.45,1014.100,-0.056296,-0.038777,0.007169,49.261536,-123.256378,81.20,1,5,0.509,0.001,-0.000,-0.861
-0.60,-0.06,-0.45,1014.100,-0.055234,-0.044783,0.006438,49.261536,-123.256378,81.20,1,5,0.509,0.001,-0.000,-0.861
-0.60,-0.06,-0.53,1014.110,-0.071070,-0.044813,0.005705,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.001,-0.861
-0.60,-0.06,-0.53,1014.110,-0.065755,-0.049691,0.003289,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.001,-0.861
-0.60,-0.06,-0.52,1014.108,-0.062321,-0.044774,0.002570,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.001,-0.861
-0.60,-0.06,-0.52,1014.108,-0.060181,-0.046303,0.002108,49.261536,-123.256378,81.20,1,5,0.509,0.000,-0.001,-0.861
-0.60,-0.05,-0.56,1014.113,-0.049323,-0.051972,0.008501,49.261536,-123.256378,81.20,1,5,0.508,0.000,-0.001,-0.861
-0.60,-0.05,-0.56,1014.113,-0.055871,-0.050362,0.003616,49.261536,-123.256378,81.20,1,5,0.508,-0.000,-0.001,-0.861
-0.60,-0.05,-0.53,1014.110,-0.056437,-0.032815,-0.004202,49.261536,-123.256378,81.20,1,5,0.508,-0.000,-0.001,-0.861
-0.60,-0.05,-0.53,1014.110,-0.060592,-0.038816,-0.003183,49.261536,-123.256378,81.20,1,5,0.508,-0.001,-0.000,-0.861
-0.60,-0.05,-0.49,1014.105,-0.055961,-0.044137,0.005401,49.261536,-123.256378,81.20,1,5,0.508,-0.001,-0.001,-0.861
-0.60,-0.05,-0.49,1014.105,-0.058351,-0.036252,0.013727,49.261536,-123.256378,81.20,1,5,0.508,-0.001,-0.000,-0.861
-0.60,-0.05,-0.46,1014.102,-0.062207,-0.047914,0.008653,49.261536,-123.256378,81.20,1,5,0.508,-0.001,-0.000,-0.862
-0.60,-0.05,-0.46,1014.102,-0.056256,-0.045850,0.004036,49.261536,-123.256378,81.20,1,5,0.508,-0.001,-0.000,-0.862
-0.60,-0.04,-0.53,1014.110,-0.068467,-0.050383,0.002191,49.261536,-123.256378,81.20,1,5,0.507,-0.002,0.000,-0.862
-0.60,-0.05,-0.53,1014.110,-0.067020,-0.052108,-0.008249,49.261536,-123.256378,81.20,1,5,0.508,-0.002,0.000,-0.862
-0.60,-0.05,-0.45,1014.100,-0.060097,-0.050093,-0.005050,49.261536,-123.256378,81.20,1,5,0.508,-0.003,0.000,-0.861
