P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
0.000242,-0.001171,0.332840,1011.583069,-0.000694,0.003820,-0.006645,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.000468,-0.001864,0.332840,1011.583069,-0.000985,-0.001049,-0.004144,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.000686,-0.002280,0.332840,1011.583069,-0.006607,-0.003805,-0.002882,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.000894,-0.002060,0.319099,1011.584717,-0.001525,-0.007624,0.000331,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.001117,-0.001382,0.319099,1011.584717,-0.003726,0.001339,0.002423,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.001284,-0.001763,0.236649,1011.594666,-0.001010,-0.006779,-0.003586,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.001458,-0.001638,0.236649,1011.594666,-0.001887,0.001506,-0.001245,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.001722,-0.000415,0.305862,1011.586304,-0.007435,0.005255,0.003601,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.002026,0.000324,0.305862,1011.586304,-0.003131,-0.004372,0.000050,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.002367,0.000705,0.305862,1011.586304,-0.007262,-0.003769,-0.002880,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.002743,0.000555,0.305862,1011.586304,-0.002192,0.003158,-0.006880,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.003207,0.002031,0.332840,1011.583069,-0.002613,-0.001415,0.000502,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.003737,0.002159,0.332840,1011.583069,-0.001680,0.004346,-0.008360,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.004237,0.004428,0.266678,1011.591064,-0.003868,0.003245,0.004353,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.004823,0.005660,0.266678,1011.591064,-0.005132,-0.003752,-0.002640,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.005706,0.008337,0.360832,1011.579712,0.000100,-0.006716,0.000318,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.006732,0.011059,0.360832,1011.579712,-0.003789,-0.000234,-0.001220,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.007890,0.014834,0.349129,1011.581116,-0.002667,-0.000118,0.003417,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.009235,0.019339,0.349129,1011.581116,0.001327,-0.001575,0.005625,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.010779,0.023403,0.349129,1011.581116,-0.001989,0.000561,0.001210,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
0.012541,0.028833,0.349129,1011.581116,-0.004323,-0.002850,0.006872,0.0000000000,0.0000000000,0.000000,0,0,0.390,-0.003,-0.005,-0.921
