P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
1.233209,0.003428,1.100876,1011.122314,0.001023,0.000285,-0.000595,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232661,0.002683,1.100876,1011.122314,0.003449,0.000965,-0.003753,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232360,0.002751,1.155869,1011.115723,0.000026,0.000619,0.000630,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232058,0.002376,1.155869,1011.115723,0.002649,-0.001787,-0.001859,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232322,0.002339,1.280609,1011.100708,-0.004416,0.000056,-0.000363,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232586,0.002482,1.280609,1011.100708,-0.006441,0.001832,0.000649,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232411,0.002741,1.183868,1011.112366,-0.002185,0.000686,0.001606,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232246,0.003489,1.183868,1011.112366,0.001106,0.003231,0.004349,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232342,0.003721,1.238861,1011.105713,0.001071,-0.003503,0.001280,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232439,0.003779,1.238861,1011.105713,-0.000108,-0.003159,0.000309,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232658,0.003092,1.266861,1011.102356,-0.001317,0.002882,-0.003965,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.232878,0.003911,1.266861,1011.102356,0.004927,-0.002100,0.004482,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.233111,0.004815,1.266861,1011.102356,0.000561,-0.002530,0.004959,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
1.233352,0.004803,1.266861,1011.102356,-0.002272,-0.002674,-0.000174,0.0000000000,0.0000000000,0.000000,0,0,0.992,0.010,0.001,-0.129
