P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
0.51,-0.01,0.40,1016.584,0.000949,-0.001391,0.002614,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.51,-0.01,0.37,1016.584,0.001455,0.004551,-0.002716,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.51,-0.01,0.37,1016.588,0.001998,0.001806,-0.003713,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.51,-0.01,0.37,1016.588,-0.001790,0.002793,0.004351,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.50,-0.01,0.36,1016.589,0.001503,0.000104,0.010924,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.50,-0.01,0.36,1016.589,0.000839,0.001368,-0.003717,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.50,-0.02,0.32,1016.594,0.001798,-0.002437,0.000897,0.000000,0.000000,0.00,0,0,0.124,0.000,0.003,-0.992

0.50,-0.02,0.32,1016.594,-0.001400,0.003012,-0.001020,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.49,-0.02,0.21,1016.607,0.002166,-0.001110,-0.001048,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.49,-0.02,0.21,1016.607,-0.001036,0.000545,0.005556,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.48,-0.02,0.20,1016.609,0.009136,-0.000956,0.004079,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.48,-0.02,0.20,1016.609,0.000450,-0.004401,0.000884,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.47,-0.02,0.20,1016.609,-0.000632,0.001773,-0.001761,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.47,-0.03,0.20,1016.609,-0.000323,-0.000389,-0.005682,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.47,-0.03,0.21,1016.607,-0.002077,0.007388,0.003647,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.46,-0.03,0.21,1016.607,0.002690,-0.009238,0.002318,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.46,-0.03,0.26,1016.601,-0.002478,-0.004767,0.004789,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.26,1016.601,-0.004699,-0.004531,0.005523,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.35,1016.591,-0.003072,-0.002192,-0.002030,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.35,1016.591,0.002776,0.007382,-0.006852,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.39,1016.586,0.000915,0.001787,0.003855,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.39,1016.586,0.003359,0.000031,0.004819,0.000000,0.000000,0.00,0,0,0.125,0.000,0.003,-0.992

0.45,-0.03,0.33,1016.593,-0.000443,0.002454,-0.003467,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.44,-0.03,0.33,1016.593,-0.004492,0.002541,-0.005173,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.44,-0.03,0.30,1016.596,-0.001290,0.003894,0.001184,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.44,-0.04,0.30,1016.596,0.004447,0.002134,-0.005177,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.44,-0.04,0.33,1016.593,-0.002355,-0.002781,-0.003499,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.43,-0.04,0.33,1016.593,-0.004757,-0.005758,-0.001809,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.43,-0.04,0.35,1016.591,-0.003930,-0.003073,0.007242,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.43,-0.04,0.35,1016.591,-0.007048,-0.002550,-0.002764,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.43,-0.04,0.36,1016.589,-0.000715,0.000265,-0.007875,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.43,-0.04,0.36,1016.589,-0.000231,0.007121,-0.000262,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.42,-0.04,0.28,1016.599,-0.000278,0.010234,-0.000244,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.42,-0.04,0.28,1016.599,0.001782,0.003187,0.000444,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.42,-0.04,0.29,1016.597,0.002390,-0.000153,-0.004217,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.42,-0.04,0.29,1016.597,-0.001897,0.003742,-0.000528,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.42,-0.04,0.40,1016.584,0.004088,0.005897,-0.000026,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.41,-0.04,0.40,1016.584,-0.001726,0.007885,0.000721,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.41,-0.05,0.44,1016.579,0.001791,-0.000636,-0.003487,0.000000,0.000000,0.00,0,0,0.126,0.000,0.003,-0.992

0.41,-0.04,0.44,1016.579,-0.001267,-0.002884,0.004556,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.44,1016.579,-0.000088,-0.005038,0.001368,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.44,1016.579,-0.007222,0.001166,0.002144,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.40,1016.579,-0.000687,0.002422,0.000440,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.40,1016.584,0.001424,0.001484,-0.000788,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.40,1016.584,0.003763,0.000223,0.001155,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.41,1016.583,0.000667,0.002073,0.001168,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.41,1016.583,0.004223,-0.009699,-0.000126,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.35,1016.591,0.003001,-0.002322,0.001140,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.41,-0.04,0.35,1016.591,-0.002188,0.002122,0.000436,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.40,-0.04,0.31,1016.596,-0.001684,0.003484,0.006792,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.40,-0.04,0.31,1016.596,0.003393,0.007667,-0.000754,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.40,-0.04,0.28,1016.599,0.004434,-0.004763,0.004785,0.000000,0.000000,0.00,0,0,0.127,0.000,0.003,-0.992

0.40,-0.04,0.28,1016.599,-0.000486,-0.002463,0.011393,0.000000,0.000000,0.00,0,0,0.127,-0.000,0.003,-0.992

0.39,-0.04,0.29,1016.597,-0.000625,-0.000924,0.001392,0.000000,0.000000,0.00,0,0,0.127,-0.000,0.003,-0.992

0.39,-0.04,0.29,1016.597,-0.002565,-0.000409,-0.000068,0.000000,0.000000,0.00,0,0,0.127,-0.000,0.003,-0.992

0.39,-0.04,0.26,1016.601,0.002448,-0.001767,0.003581,0.000000,0.000000,0.00,0,0,0.127,-0.000,0.003,-0.992

0.39,-0.04,0.26,1016.601,-0.000073,0.006542,0.003139,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.38,-0.04,0.22,1016.606,-0.002288,0.004408,0.006793,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.38,-0.05,0.22,1016.606,-0.003229,-0.003832,-0.004969,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.38,-0.05,0.21,1016.607,-0.005375,0.001347,-0.001763,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.21,1016.607,-0.003856,-0.000537,-0.000311,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.29,1016.598,0.003419,0.003417,-0.006649,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.29,1016.598,-0.005139,-0.006010,-0.000093,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.006161,-0.001056,0.007239,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.003245,0.003258,-0.000059,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.002302,-0.003357,-0.006927,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.33,1016.593,-0.004327,0.000555,-0.003721,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.29,1016.598,-0.001311,0.001579,-0.001524,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.29,1016.598,0.003927,-0.001304,-0.002280,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.30,1016.596,-0.000310,-0.003414,-0.002041,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.30,1016.596,0.010047,-0.000699,0.000888,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.33,1016.593,-0.003545,-0.007500,-0.003277,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.33,1016.593,0.004431,-0.001220,-0.002769,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.35,1016.591,-0.000421,0.006926,0.003138,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.35,1016.591,-0.001615,-0.000596,0.001149,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.003,-0.992

