P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
-0.20,-0.06,-0.05,1016.474,0.002078,-0.001993,-0.002855,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.20,-0.06,-0.05,1016.474,-0.008118,-0.000925,-0.005630,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.20,-0.06,-0.04,1016.473,-0.000794,0.002572,-0.005845,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.20,-0.06,-0.04,1016.473,0.000383,0.001651,0.005239,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.20,-0.06,0.03,1016.464,-0.001569,-0.003260,0.003957,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.19,-0.06,0.03,1016.464,0.002326,0.000693,-0.002483,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.19,-0.06,0.06,1016.461,-0.003592,-0.002525,-0.002000,0.000000,0.000000,0.00,0,0,0.353,0.004,-0.027,-0.935
-0.19,-0.06,0.06,1016.461,-0.001965,0.002126,-0.011468,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.935
-0.18,-0.06,0.11,1016.455,-0.000551,0.001341,-0.005275,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.936
-0.18,-0.05,0.11,1016.455,0.002222,0.000035,0.000487,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.936
-0.18,-0.05,0.10,1016.456,0.002108,-0.002902,0.008944,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.936
-0.18,-0.05,0.10,1016.456,-0.000953,-0.002852,0.001524,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.936
-0.17,-0.05,0.09,1016.458,-0.001903,0.005239,0.002572,0.000000,0.000000,0.00,0,0,0.352,0.004,-0.027,-0.936
-0.17,-0.05,0.09,1016.458,-0.000620,0.000689,-0.007938,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.17,-0.04,0.10,1016.456,-0.002912,0.003051,0.001185,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.16,-0.04,0.10,1016.456,-0.002592,-0.003434,0.011038,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.16,-0.04,0.07,1016.459,-0.000458,-0.004063,0.007702,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.16,-0.04,0.07,1016.459,0.004974,-0.000184,-0.002613,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.16,-0.04,0.05,1016.463,-0.009850,0.005271,-0.005474,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.15,-0.04,0.05,1016.463,-0.005151,-0.001838,0.001344,0.000000,0.000000,0.00,0,0,0.351,0.004,-0.027,-0.936
-0.15,-0.03,0.06,1016.461,-0.005503,0.004594,0.005430,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.936
-0.15,-0.03,0.06,1016.461,0.002328,0.000434,0.007067,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.936
-0.15,-0.03,0.05,1016.463,-0.002342,-0.006413,0.008735,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.936
-0.14,-0.03,0.05,1016.463,-0.005375,-0.004891,-0.002672,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.936
-0.14,-0.03,0.03,1016.464,-0.003075,-0.003936,-0.001682,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.936
-0.14,-0.03,0.03,1016.464,-0.005964,0.002329,-0.005479,0.000000,0.000000,0.00,0,0,0.350,0.004,-0.027,-0.937
-0.14,-0.03,0.02,1016.466,-0.001951,0.005721,0.004009,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.14,-0.02,0.02,1016.466,0.001651,-0.007283,0.008880,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.13,-0.02,0.02,1016.466,0.005134,-0.002886,0.000450,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.13,-0.02,0.02,1016.466,-0.002336,-0.000287,-0.005989,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.13,-0.02,0.02,1016.466,-0.003478,0.001847,-0.002698,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.13,-0.02,0.02,1016.466,0.003321,-0.003074,-0.004975,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
-0.13,-0.02,0.10,1016.456,-0.001450,-0.008594,0.000306,0.000000,0.000000,0.00,0,0,0.349,0.004,-0.027,-0.937
